uniqueid,rating,exp,element,expexpct,direxp,expexpect,expabout,strategyq1,strat2,dirstrat,strategyq2,strategyq1_categories,strategyq1_primary_category,strategyq2_categories,strategyq2_primary_category,strategy_overall_category
A2CMWJEKHJ299N:3DHE4R9OCWC3X8KZ50W3VVFAPDW2G9,Liking_Rating,Experience,6,1,-1,I think you expected us to dislike pieces that took forever to get to.,Seeing how people associate negative feelings with a repetitive task.,"Going as fast as possible and the moment I realized it would take a while I'd skip it, regardless of the monetary value of each work.",1,-1,"If it took awhile to get to, I rated it low because my finger hurts now.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Effort-Based Adjustment (Time/Hardness); Fatigue / Discomfort Adjustment,Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly + Effort-Based Adjustment (Time/Hardness)
A1QW6HQKXCLS1N:3OB0CAO74HQ7YP8HIRLGPZSGJQKYHX,Liking_Rating,No_Experience,5,1,-1,The harder it was to  reach the  caligraphy the lower the people would rate it.,To test the patience of the survey taker.,,1,-1,The harder it was to get there the less I  gave the numerical value.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
AVOF14300525D:3VHHR074H3IQ51V6M3AE4E1QW8K7LC,Value_Rating,No_Experience,6,1,0,I think you are looking at the number of clicks in relation to how we value the calligraphy.,To see how we valued the works.,,1,-1,I thought if it took longer to get to it would not be worth as much.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1R5W4RQZTROD8:3AWETUDC92T7ZAT6KV5K3I2XPYKIZK,Liking_Rating,No_Experience,8,1,1,"Not sure, i guess you thought we're like them more if it took longer to get them?",If how hard we had to work for something had a positive or negative impact upon our value of something,,1,-1,"No, it was just whatever I liked better at first, but i got annoyed later when tasks took too long, and liked the ones where they were shorter, which probably impacted my scoring of the calligraphy for those later tasks",No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2G33A22E2A0XQ:3YJ6NA41JBH9GHB6F4SIOLFJSF4PJM,Liking_Rating,Experience,5,1,1,you expected that we would rate the value and time in a positive relationship,understanding the value of time and effort,if it felt like it would take more than 10 seconds to get to the calligraphy i scrapped it and moved on to the next one,1,-1,The quicker it was to get to the caligraphy the higher the ranking,Skip / Move On Quickly; Counting / Quantitative Cue; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A2G98Q8XEIPJUL:3ITXP059PWK6T9RY7LWCJQKUFZBJSW,Value_Rating,Experience,5,1,1,I think you expected us to rate the faster rooms at a lower value. But I don't know.,"I'm not sure. There's something in there about the higher value room being faster, but I don't know what. It seems counter intuitive. Maybe to see if people just skip the lower values looking for the higher ones, vs taking whatever comes up? Or at what point your abandon a room?","Start tapping to see how fast the little guy was going. Unfortunately, I did not skip rooms that I should have, because I was still getting the feel for it. The ones that I WOULD have skipped, would be the $100 rooms where the little guy was going slow.",1,-1,"I noticed that the little guy seemed faster in the higher value rooms in the first half, so I rated most of the fast ones higher than the slow ones.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A2HHGI5CNSS5PD:392CY0QWG1SRWD5HZ2FU9MPOO4K4IZ,Liking_Rating,No_Experience,6,1,1,"In retrospect, perhaps most people put higher values on the ones harder to reach.  If you work more for it, it must be valuable.  I still value the easy ones.",I guess to see how people choose values.,,1,-1,The ones which were easier to reach were more valuable.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A2RSMGCK1LWSS2:3D4CH1LGEAUEXS5YQ9BI5INOVIT9GT,Value_Rating,Experience,6,1,1,Not exactly sure....maybe to see if we thought the ones that took longer to get to would be worth more? or the ones that had more complicated designs?,Seeing how quick we can adapt strategy as we learn to play a game.,"After I got comfortable with the different speeds, I would basically skip and slow moving amount $300 or less and only skip the very slowest $400 or $500.",1,-1,If it looked relatively basic and moved fast then I would choose $300 or below but not much strategy other than that.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based; Counting / Quantitative Cue,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A1LQROX8JPGCTO:3BWI6RSP7GACZVLE5HNARJB6NBJE7W,Value_Rating,No_Experience,6,0,0,don't know,don't know,,1,-1,"If the little man moved quickly, the work was worth less.  If the little figure moved slowly,the work was worth more.",No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Speed-Based Selection (Fast/Slow),No Strategy / Not Specified + Speed-Based Selection (Fast/Slow)
A1VW8Y7XCV3DRW:39L1G8WVWQSVEBQFRHP57IGWT2W132,Value_Rating,Experience,6,0,0,You expected me to figure out if it took longer just skip it and go on.,To see my thoughts on work per amount.,If the value was low and the work long then I would skip.,1,-1,I estimated the harder ones lower because they are more annoying.,Skip / Move On Quickly; Pattern Or Rule-Based,Skip / Move On Quickly,Counting / Quantitative Cue,Counting / Quantitative Cue,Skip / Move On Quickly + Counting / Quantitative Cue
A2RA61JO2S39QO:3YOH7BII098HWLEKJ11TVS4ETQMVKP,Liking_Rating,No_Experience,6,0,0,probably i'll like it more if i worked for it,effort and appraisal,,1,-1,I'm not sure. Mostly ugly. less ugly when I didn't have to work as hard.,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified; Counting / Quantitative Cue,No Strategy / Not Specified,No Strategy / Not Specified
A36470UBRH28GO:3JJVG1YBEBYZ5OVB7X6NSRRPT8B5B8,Liking_Rating,Experience,6,0,0,First instinct/perceptions,Perceptions of value and use of strategy to maximize and influence outcome,"When the points were low and/or I was not moving quickly I thought it best to skip ahead and use as little time as possible trying to move a slow moving character.  I thought my profits might be maximized if I found a better paying, faster moving situation.  But I'm not sure all that skipping paid off in the long run.",1,-1,Art works that required more time and effort received lower scores.,No Strategy / Not Specified; Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),No Strategy / Not Specified,Counting / Quantitative Cue; Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),No Strategy / Not Specified + Effort-Based Adjustment (Time/Hardness)
A3F4VYPPTBSMLY:3NVC2EB65Q0S4H1I36WEL5R60L33YW,Liking_Rating,Experience,5,0,0,Try to strategize in order to make more money.,Patience and gambling.,Completing the rooms that would allow me to get the most money the fastest while skipping the other rooms.,1,-1,Basically I liked calligraphy that was easier to get.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Aesthetic Preference / Liking-Based; Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly + Effort-Based Adjustment (Time/Hardness)
A3KG85LTX4J6N0:3LYA37P8IQO2N7GEEKATUGA7QZ5BK0,Liking_Rating,No_Experience,5,0,0,I don't understand this question.  I had to move the man and rate the calligraphy.,Associating wait times with art.,,1,-1,How irritated I was trying to get the little man over to the calligraphy.  Longer times resulted in lower ratings.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A4E1UYPDHE8D8:3QIYRE09Y3I2IFJP909KGWE2YJ3N1K,Liking_Rating,Experience,6,0,0,Something about subconscious feeling/emotion and decision making in relation to visual/physical stimulation?,I am not sure.,"Skip the room that progress slowly even if it offer big money. I can do 2 or 3 rooms in the time to do a single slow room, so it wasn't worth it.",1,-1,I didn't really use one. I just went with how I felt when I was doing the room. If it annoyed me by being slow I gave it low value.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A9E9L9MWEZOPN:333U7HK6I9G0RK8GAV1NORYUEUIJDF,Liking_Rating,Experience,9,0,0,mind set changes,psychology,"when the doll is running very slow, its waste of time to earn dollars. so i have chosen fast running tasks to collect more points",1,-1,"while running slow, i hate the design. when running fast, i like the design",Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow); Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow)
AZF4PIJG38M41:33ISQZVXPPN3EEWW07PQHH3H3AYCCV,Value_Rating,Experience,6,0,0,Collect more money by using strategical decision,How people develop their logical thoughts.,calligraphy moves slow and money value is less means I skipped it. If calligraphy moves fast and money value also high means I continued with right arrow key,1,-1,"If calligraphy moves slow, the value of money is mostly less and I remember some values and code",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue; Visual / Spatial Cue,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue; Memory / Mnemonic / Recall,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A1EQ2HDHF2WWSY:3YW4XOSQKQMFD53Y61L6UR6W6ECU1X,Liking_Rating,No_Experience,6,0,0,I don't know.,Perceptions,,1,-1,"The easier it was too reach, the more I liked it.",No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1H1H507JZ7V3R:3R2PKQ87NW9703UN56FQVG6OAUYMI3,Liking_Rating,Experience,6,0,0,"Maybe you wanted to see how I choose to get the calligraphy, like some would not skip anything to try and get as much as possible, and other would skip all ""small payment"" calligraphies.",The experiment might be about the difficulty of reaching a goal,It was to skip the times where moving required too much press on the right,1,-1,"The shorter to get the calligraphy, the better I liked it.",Skip / Move On Quickly; Visual / Spatial Cue,Skip / Move On Quickly,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A2UVNGPF6ZHU34:3WYGZ5XF3WG14TXGP6WOK5K7UOCKSX,Value_Rating,Experience,3,1,0,"Most likely to rate the calligraphy in the second phase based upon the resistance of the path to get them.  However, I didn't see a strong correlation in the first phase. . .",It was engaging.,After trying hard on a not lucrative $500 piece I decided to prioritize quicker pieces with less resistance regardless of their pricing.,1,0,"I tried to focus more so on the calligraphy piece rather than the difficulty of the path to get it, however I imagine my intuition was rather weak.",Counting / Quantitative Cue,Counting / Quantitative Cue,Focused Attention / Careful Look; Counting / Quantitative Cue; Intuition / Gut Feeling,Focused Attention / Careful Look,Counting / Quantitative Cue + Focused Attention / Careful Look
ALDQLN2PQI15T:3M1CVSFP606JF09HLBUUVR2A7OXQAZ,Liking_Rating,No_Experience,4,1,0,It seems you expected me to click a button to move right until I got to a calligraphy character and then rate how much I liked the character. I'm guessing you were expecting certain patterns between the effort of getting to a character vs what the character looked like. Maybe you were expecting me to rate the ones harder to get to as being more attractive? Less attractive? I'm not sure.,"Perception of value based on how much effort it took to get to the goal, maybe.",,1,0,I just rated them on how much their shape and lines appealed to me. I didn't like the more simpler shapes despite them taking a million clicks to get to.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Visual / Spatial Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A115UFR6VA6OM1:39K0FND3AHGSULBPTINDEII5XMFMAL,Value_Rating,No_Experience,4,1,1,"the longer pressing the key, the more expensive the work.",how frustrating it can be to press the arrow key!!,,1,0,I just went by how the much work was put into the symbol and how much I liked it,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1TMZLYXQAK8Q0:3L0KT67Y8EHWOYMXTLXFTDZIS11SYC,Value_Rating,No_Experience,4,1,1,I think that maybe you expected me to rate art that was harder to get to higher than those that were easy to get to.,To see if the difficulty of getting to the art influenced my impression of value.,,1,0,"yes, it was based on how appealing the art was to me.  I thought that maybe I was supposed to base it on how difficult it was to get the little guy to it, but in the end chose to base it on how visually appealing it was to me.",No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1TH7T7VX9ZTPY:3LOTDFNYA70JVOMB80FS1HVNS5EFWS,Value_Rating,No_Experience,4,0,0,,social judgements to evaluate worth,,1,0,I rated based on my own preferences. I thought that maybe the speed of reaching the calligraphy was an indicator of the price but I wasn't sure so I just went with intuition.,No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based; Intuition / Gut Feeling,Speed-Based Selection (Fast/Slow),No Strategy / Not Specified + Speed-Based Selection (Fast/Slow)
A22XK2FSFIAAFG:3OJSZ2ATDSXC3CSLUGU7NP5TAJK57O,Value_Rating,Experience,5,0,0,im not sure,im not sure,trying not to skip,1,0,how long it took,Skip / Move On Quickly,Skip / Move On Quickly,Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly + Effort-Based Adjustment (Time/Hardness)
A2R2YZTSME1K3F:3XLBSAQ9Z4DAAQCA141NCTCOBJZ7Z6,Value_Rating,Experience,5,0,0,no idea,no idea,"get as many as possible, skip as few as possible",1,0,how fast or slow i went to it,Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
AE6VVAOUB4EYG:3OUYGIZWR7Z2EBAKTWIC6G0NT660PY,Value_Rating,Experience,6,0,0,"I think you wanted to see, what i thought was worth the trouble of doing the work.","seeing if we would do the work for a prize, or how much work we would put in if we knew the prize.",If the character was moving to slowly i would skip the room.,1,0,"No, i just tried to remember if the higher paying ones went faster or not.",Skip / Move On Quickly,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Memory / Mnemonic / Recall,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
AEF94JKX6FG92:3F0BG9B9MPOA50255IZ4YM3M5OZ7YH,Liking_Rating,Experience,7,0,0,People who like to switch rooms a lot will prefer the pictures that moved faster.,It seems to be about testing if people are patient or if they need to switch all the time as soon as they encounter a problem.,"I didn't change room because I realized that after one sluggish one there would always be good ones after, so I stayed where I was, staying patient and clicking as fast as I could. Switching room seem like a loss of time, so less efficient.",1,0,"It's more gut instinct, the way it looked and if I liked it or not. I was thinking that maybe it could be linked to how fast it was going when I moved and if I liked it better, but if there was too many lines I didn't like it anyway.",Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based; Counting / Quantitative Cue; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue; Intuition / Gut Feeling; Visual / Spatial Cue; Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow)
AHPOOKYE7V04D:323Q6SJS8IH1YYRMD1TS0EL0DGUFHJ,Liking_Rating,Experience,4,0,0,unsure,unsure,Comparing the speed of movement on that round with the value of the calligraphy,1,0,"mainly based on how much I liked it aesthetically, slightly modified by the speed",Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based; Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow)
AL4QXJSJQGT4H:3DI28L7YXAFYO96CG161Q9KTKQI1EN,Value_Rating,Experience,6,0,0,"I believe the study wanted us to focus on making the most amount of money in the given time frame. I think we were supposed to feel that the higher the amount of money, the more effort (right clicks) needed.",I think this experiment want to find people's opinions on effort versus reward.,"I tried not to skip. I felt like I was losing valuable time by skipping. However, if there was a $200 or $100 work of calligraphy and I could tell by the first few right arrow clicks that it would take a lot of time to reach it, I would skip it.",1,0,I did not have a very clear strategy. I felt like there was no strong correlation between price and number of clicks needed to reach the piece and so I mostly guessed.,Skip / Move On Quickly; Counting / Quantitative Cue; Intuition / Gut Feeling; Visual / Spatial Cue; Aesthetic Preference / Liking-Based; Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly,Random Guessing; Counting / Quantitative Cue; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Random Guessing,Skip / Move On Quickly + Random Guessing
A3NENUY6H263YT:3LEP4MGT3G1U91A4M3O6Q3FH6Q8BDN,Value_Rating,No_Experience,6,1,-1,Faster I moved the more it should be worth. The slower it is worth less.,Patience?,,1,0,How long it took me to get the works. Once I realized there was fast and slow it helped me base its worth.,No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow); Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),No Strategy / Not Specified + Effort-Based Adjustment (Time/Hardness)
A1H198MRIM37T1:3ZAK8W07I4FF6GIGAIH6GMNM1NF0UB,Liking_Rating,No_Experience,8,1,-1,You expected us to devalue the works which took forever to get there.,This is a study on patience and reward value.,,0,0,I based this on simplicity and symmetry.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1BAEJW3MDJ7FQ:3R8YZBNQ9HJ1WYBJE8IAL00K6GR7QP,Value_Rating,No_Experience,6,1,0,I think it was expected that there would be a correlation between the number of button presses and the value of the work.,How value is based on work,,1,0,"Yes, I determined the value mostly by how many button presses it took to get to it and secondarily base on how much I liked the image",No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1SLJKNSNHOJRN:35GMH2SV3EIJK1DDM34C25X1D1SEON,Value_Rating,No_Experience,9,1,1,give higher amounts of worth to the art that took longer to get to.,seeing if the effort/time it took to get to the work corresponded with how much we think the art was worth.,,1,0,The longer it took to get to the work of calligraphy paired with the seeming complexity of the piece impacted the price I guessed.,No Strategy / Not Specified,No Strategy / Not Specified,Random Guessing; Effort-Based Adjustment (Time/Hardness),Random Guessing,No Strategy / Not Specified + Random Guessing
A3O3RIY1ELZ6YR:320DUZ38G7N334I7CL2VUC1RROHJGC,Value_Rating,Experience,6,1,1,I think that you expected me to value more work at a higher value.,I believe that this experiment was to understand the relationship between work and reward.,I would skip characters that had a lower value or took too long to travel to.,1,0,I estimated the values  based on how long it took to travel to the characters.,Skip / Move On Quickly,Skip / Move On Quickly,Pattern Or Rule-Based; Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly + Effort-Based Adjustment (Time/Hardness)
A1N99VUNEUCJ8M:39N5ACM9HEOKA5YXTS15ZR1GW989PP,Value_Rating,No_Experience,9,1,1,The longer distance paintings would be worth more.,Seeing if people value paintings more based on how much work it is to get there.,,1,0,I took into consideration the number of times I had to move as well as how complicated the Chinese character was.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A25KD5DXVYTWFQ:3SITXWYCNVA877FLD3PIKAI9M8KXBB,Value_Rating,No_Experience,9,0,0,"I expected to navigate a maze of some sort to get to the calligraphy, and you probably expected some random responses, if I had to guess.",I don't know.,,1,0,I sometimes judge by the amount of the key presses it took me to get to the painting to influence my decision.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A3CJRJ5F32AVL4:3RUIQRXJBBPPKMK8QXBONJJRRSPLLZ,Value_Rating,No_Experience,6,0,0,i was confused and i still am not very sure,how hard work is valued,,1,0,how much work it takes to reach it,No Strategy / Not Specified,No Strategy / Not Specified,Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),No Strategy / Not Specified + Effort-Based Adjustment (Time/Hardness)
